Text,Sentiment,Timestamp,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Polarity,Subjectivity,Sentiment_Category
 Rainy days call for cozy blankets and hot cocoa.   ,Positive,1/16/2023 14:45,Facebook,rainydays,10,20, Canada   ,2023,1,16,14,0.025,0.8,Neutral
 Rainy days call for cozy blankets and hot cocoa.   ,Positive,1/16/2023 14:45,Facebook,cozy,10,20, Canada   ,2023,1,16,14,0.025,0.8,Neutral
 The new movie release is a must-watch!             ,Positive,1/16/2023 19:30,Instagram,movienight,15,30, USA    ,2023,1,16,19,0.1704545454545454,0.4545454545454545,Positive
 The new movie release is a must-watch!             ,Positive,1/16/2023 19:30,Instagram,mustwatch,15,30, USA    ,2023,1,16,19,0.1704545454545454,0.4545454545454545,Positive
 Political discussions heating up on the timeline.  ,Negative,1/17/2023 8:00,Twitter,politics,30,60, USA      ,2023,1,17,8,0.0,0.1,Neutral
 Political discussions heating up on the timeline.  ,Negative,1/17/2023 8:00,Twitter,debate,30,60, USA      ,2023,1,17,8,0.0,0.1,Neutral
 Missing summer vibes and beach days.               ,Neutral,1/17/2023 12:20,Facebook,summer,18,35, Australia ,2023,1,17,12,-0.2,0.05,Negative
 Missing summer vibes and beach days.               ,Neutral,1/17/2023 12:20,Facebook,beachdays,18,35, Australia ,2023,1,17,12,-0.2,0.05,Negative
 Just published a new blog post. Check it out!      ,Positive,1/17/2023 15:15,Instagram,blogging,22,45,USA,2023,1,17,15,0.1704545454545454,0.4545454545454545,Positive
 Just published a new blog post. Check it out!      ,Positive,1/17/2023 15:15,Instagram,newpost,22,45,USA,2023,1,17,15,0.1704545454545454,0.4545454545454545,Positive
 Feeling a bit under the weather today.             ,Negative,1/18/2023 10:30,Twitter,sickday,7,15, Canada   ,2023,1,18,10,0.0,0.0,Neutral
 Feeling a bit under the weather today.             ,Negative,1/18/2023 10:30,Twitter,health,7,15, Canada   ,2023,1,18,10,0.0,0.0,Neutral
 Exploring the city's hidden gems.                  ,Positive,1/18/2023 14:50,Facebook,cityexplore,12,25, UK       ,2023,1,18,14,-0.1666666666666666,0.3333333333333333,Negative
 Exploring the city's hidden gems.                  ,Positive,1/18/2023 14:50,Facebook,hiddengems,12,25, UK       ,2023,1,18,14,-0.1666666666666666,0.3333333333333333,Negative
" New year, new fitness goals! 💪                    ",Positive,1/18/2023 18:00,Instagram,newyear,28,55, USA        ,2023,1,18,18,0.1534090909090908,0.4545454545454545,Positive
" New year, new fitness goals! 💪                    ",Positive,1/18/2023 18:00,Instagram,fitnessgoals,28,55, USA        ,2023,1,18,18,0.1534090909090908,0.4545454545454545,Positive
 Technology is changing the way we live.            ,Neutral,1/19/2023 9:45,Twitter,tech,15,30, India    ,2023,1,19,9,0.1363636363636363,0.5,Positive
 Technology is changing the way we live.            ,Neutral,1/19/2023 9:45,Twitter,innovation,15,30, India    ,2023,1,19,9,0.1363636363636363,0.5,Positive
 Reflecting on the past and looking ahead.          ,Positive,1/19/2023 13:20,Facebook,reflection,20,40, USA      ,2023,1,19,13,-0.25,0.25,Negative
 Reflecting on the past and looking ahead.          ,Positive,1/19/2023 13:20,Facebook,future,20,40, USA      ,2023,1,19,13,-0.25,0.25,Negative
 Just adopted a cute furry friend! 🐾              ,Positive,1/19/2023 17:10,Instagram,petadoption,15,30, Canada    ,2023,1,19,17,0.625,1.0,Positive
 Just adopted a cute furry friend! 🐾              ,Positive,1/19/2023 17:10,Instagram,furryfriend,15,30, Canada    ,2023,1,19,17,0.625,1.0,Positive
 Late-night gaming session with friends.            ,Positive,1/20/2023 0:05,Twitter,gaming,18,35, UK       ,2023,1,20,0,0.0,0.0,Neutral
 Late-night gaming session with friends.            ,Positive,1/20/2023 0:05,Twitter,latenight,18,35, UK       ,2023,1,20,0,0.0,0.0,Neutral
 Attending a virtual conference on AI.              ,Neutral,1/20/2023 11:30,Facebook,ai,25,50,USA,2023,1,20,11,0.0,0.0,Neutral
 Attending a virtual conference on AI.              ,Neutral,1/20/2023 11:30,Facebook,techconference,25,50,USA,2023,1,20,11,0.0,0.0,Neutral
 Winter blues got me feeling low.                   ,Negative,1/20/2023 15:15,Instagram,winterblues,8,15, USA       ,2023,1,20,15,0.0,0.3,Neutral
 Winter blues got me feeling low.                   ,Negative,1/20/2023 15:15,Instagram,mood,8,15, USA       ,2023,1,20,15,0.0,0.3,Neutral
 Sipping coffee and enjoying a good book.           ,Positive,1/21/2023 8:40,Twitter,reading,22,45, India    ,2023,1,21,8,0.6,0.6000000000000001,Positive
 Sipping coffee and enjoying a good book.           ,Positive,1/21/2023 8:40,Twitter,coffeetime,22,45, India    ,2023,1,21,8,0.6,0.6000000000000001,Positive
 Exploring the world of virtual reality.            ,Positive,1/21/2023 13:20,Facebook,vr,15,30,USA,2023,1,21,13,0.0,0.0,Neutral
 Exploring the world of virtual reality.            ,Positive,1/21/2023 13:20,Facebook,virtualreality,15,30,USA,2023,1,21,13,0.0,0.0,Neutral
 Productive day ticking off my to-do list.          ,Positive,1/21/2023 16:45,Instagram,productivity,30,60, USA ,2023,1,21,16,0.0,0.0,Neutral
 Productive day ticking off my to-do list.          ,Positive,1/21/2023 16:45,Instagram,workfromhome,30,60, USA ,2023,1,21,16,0.0,0.0,Neutral
 Just finished a challenging workout routine.       ,Positive,1/22/2023 9:15,Twitter,fitness,20,40, UK       ,2023,1,22,9,0.5,1.0,Positive
 Just finished a challenging workout routine.       ,Positive,1/22/2023 9:15,Twitter,challengeaccepted,20,40, UK       ,2023,1,22,9,0.5,1.0,Positive
 Celebrating a milestone at work! 🎉               ,Positive,1/22/2023 14:30,Facebook,career,12,25, Canada  ,2023,1,22,14,0.0,0.0,Neutral
 Celebrating a milestone at work! 🎉               ,Positive,1/22/2023 14:30,Facebook,milestone,12,25, Canada  ,2023,1,22,14,0.0,0.0,Neutral
 Sunday brunch with friends.                        ,Positive,1/22/2023 12:00,Instagram,brunch,15,30, UK ,2023,1,22,12,0.0,0.0,Neutral
 Sunday brunch with friends.                        ,Positive,1/22/2023 12:00,Instagram,friends,15,30, UK ,2023,1,22,12,0.0,0.0,Neutral
 Learning a new language for personal growth.       ,Positive,1/23/2023 16:20,Facebook,languagelearning,25,50, India     ,2023,1,23,16,0.0681818181818181,0.3772727272727272,Neutral
 Learning a new language for personal growth.       ,Positive,1/23/2023 16:20,Facebook,personalgrowth,25,50, India     ,2023,1,23,16,0.0681818181818181,0.3772727272727272,Neutral
 Quiet evening with a good book.                    ,Positive,1/23/2023 19:45,Instagram,reading,15,30, Australia ,2023,1,23,19,0.35,0.4666666666666667,Positive
 Quiet evening with a good book.                    ,Positive,1/23/2023 19:45,Instagram,quiettime,15,30, Australia ,2023,1,23,19,0.35,0.4666666666666667,Positive
 Reflecting on the importance of mental health.     ,Positive,1/24/2023 11:30,Twitter,mentalhealth,22,45, USA      ,2023,1,24,11,-0.1,0.2,Neutral
 Reflecting on the importance of mental health.     ,Positive,1/24/2023 11:30,Twitter,selfcare,22,45, USA      ,2023,1,24,11,-0.1,0.2,Neutral
 New painting in progress! 🎨                       ,Positive,1/24/2023 15:00,Facebook,art,12,25, Canada ,2023,1,24,15,0.1704545454545454,0.4545454545454545,Positive
 New painting in progress! 🎨                       ,Positive,1/24/2023 15:00,Facebook,paintinginprogress,12,25, Canada ,2023,1,24,15,0.1704545454545454,0.4545454545454545,Positive
 Weekend road trip to explore scenic views.         ,Positive,1/24/2023 17:30,Instagram,roadtrip,18,35, UK        ,2023,1,24,17,0.0,0.0,Neutral
 Weekend road trip to explore scenic views.         ,Positive,1/24/2023 17:30,Instagram,scenicviews,18,35, UK        ,2023,1,24,17,0.0,0.0,Neutral
 Enjoying a cup of tea and watching the sunset.     ,Positive,1/25/2023 18:00,Twitter,teatime,15,30, India    ,2023,1,25,18,0.5,0.6,Positive
 Enjoying a cup of tea and watching the sunset.     ,Positive,1/25/2023 18:00,Twitter,sunset,15,30, India    ,2023,1,25,18,0.5,0.6,Positive
 Coding a new project with enthusiasm.              ,Positive,1/25/2023 13:15,Facebook,coding,30,60, USA ,2023,1,25,13,0.1363636363636363,0.4545454545454545,Positive
 Coding a new project with enthusiasm.              ,Positive,1/25/2023 13:15,Facebook,enthusiasm,30,60, USA ,2023,1,25,13,0.1363636363636363,0.4545454545454545,Positive
 Feeling inspired after attending a workshop.       ,Positive,1/26/2023 9:45,Instagram,inspiration,25,50,USA,2023,1,26,9,0.0,0.0,Neutral
 Feeling inspired after attending a workshop.       ,Positive,1/26/2023 9:45,Instagram,workshop,25,50,USA,2023,1,26,9,0.0,0.0,Neutral
 Winter sports day at the local park.               ,Positive,1/26/2023 14:20,Twitter,wintersports,15,30, Canada   ,2023,1,26,14,0.0,0.0,Neutral
 Winter sports day at the local park.               ,Positive,1/26/2023 14:20,Twitter,fun,15,30, Canada   ,2023,1,26,14,0.0,0.0,Neutral
 Quality time with family this weekend.             ,Positive,1/26/2023 17:40,Facebook,familytime,22,45, UK        ,2023,1,26,17,0.0,0.0,Neutral
 Quality time with family this weekend.             ,Positive,1/26/2023 17:40,Facebook,weekend,22,45, UK        ,2023,1,26,17,0.0,0.0,Neutral
 Attending a live music concert tonight.            ,Positive,1/27/2023 20:00,Instagram,music,18,35, USA ,2023,1,27,20,0.1363636363636363,0.5,Positive
 Attending a live music concert tonight.            ,Positive,1/27/2023 20:00,Instagram,concertnight,18,35, USA ,2023,1,27,20,0.1363636363636363,0.5,Positive
 Practicing mindfulness with meditation.            ,Positive,1/27/2023 12:30,Twitter,mindfulness,15,30, India    ,2023,1,27,12,0.0,0.0,Neutral
 Practicing mindfulness with meditation.            ,Positive,1/27/2023 12:30,Twitter,meditation,15,30, India    ,2023,1,27,12,0.0,0.0,Neutral
 Trying out a new dessert recipe.                   ,Positive,1/27/2023 16:10,Facebook,dessert,12,25, Canada ,2023,1,27,16,0.1363636363636363,0.4545454545454545,Positive
 Trying out a new dessert recipe.                   ,Positive,1/27/2023 16:10,Facebook,cooking,12,25, Canada ,2023,1,27,16,0.1363636363636363,0.4545454545454545,Positive
 Excited about the upcoming gaming tournament.      ,Positive,1/28/2023 9:00,Instagram,gaming,30,60,USA,2023,1,28,9,0.375,0.75,Positive
 Excited about the upcoming gaming tournament.      ,Positive,1/28/2023 9:00,Instagram,tournament,30,60,USA,2023,1,28,9,0.375,0.75,Positive
 Planning a garden makeover for spring.             ,Positive,1/28/2023 14:45,Twitter,gardening,25,50, USA      ,2023,1,28,14,0.0,0.0,Neutral
 Planning a garden makeover for spring.             ,Positive,1/28/2023 14:45,Twitter,spring,25,50, USA      ,2023,1,28,14,0.0,0.0,Neutral
 Celebrating a friend's birthday tonight! 🎂       ,Positive,1/28/2023 19:30,Facebook,birthday,15,30, UK ,2023,1,28,19,0.0,0.0,Neutral
 Celebrating a friend's birthday tonight! 🎂       ,Positive,1/28/2023 19:30,Facebook,celebration,15,30, UK ,2023,1,28,19,0.0,0.0,Neutral
 Feeling accomplished after a productive day.       ,Positive,1/29/2023 17:00,Instagram,accomplished,22,45, India ,2023,1,29,17,0.2,0.5,Positive
 Feeling accomplished after a productive day.       ,Positive,1/29/2023 17:00,Instagram,success,22,45, India ,2023,1,29,17,0.2,0.5,Positive
 A cozy evening with a good movie.                 ,Positive,1/29/2023 20:20,Twitter,cozynight,18,35, Canada   ,2023,1,29,20,0.25,0.675,Positive
 A cozy evening with a good movie.                 ,Positive,1/29/2023 20:20,Twitter,movietime,18,35, Canada   ,2023,1,29,20,0.25,0.675,Positive
 Exploring local art galleries this weekend.        ,Positive,1/30/2023 11:30,Facebook,art,15,30, USA      ,2023,1,30,11,0.0,0.0,Neutral
 Exploring local art galleries this weekend.        ,Positive,1/30/2023 11:30,Facebook,galleryexplore,15,30, USA      ,2023,1,30,11,0.0,0.0,Neutral
 New book release from my favorite author!          ,Positive,1/30/2023 15:45,Instagram,bookrelease,12,25, UK   ,2023,1,30,15,0.3806818181818182,0.7272727272727273,Positive
 New book release from my favorite author!          ,Positive,1/30/2023 15:45,Instagram,favoriteauthor,12,25, UK   ,2023,1,30,15,0.3806818181818182,0.7272727272727273,Positive
 Attending a virtual reality meetup.                ,Positive,1/30/2023 18:30,Twitter,vrmeetup,28,55, India    ,2023,1,30,18,0.0,0.0,Neutral
 Attending a virtual reality meetup.                ,Positive,1/30/2023 18:30,Twitter,virtualreality,28,55, India    ,2023,1,30,18,0.0,0.0,Neutral
 Reflecting on the beauty of nature.                ,Positive,1/31/2023 10:45,Facebook,nature,15,30, Australia ,2023,1,31,10,0.0,0.0,Neutral
 Reflecting on the beauty of nature.                ,Positive,1/31/2023 10:45,Facebook,reflection,15,30, Australia ,2023,1,31,10,0.0,0.0,Neutral
 Cooking a special dinner for loved ones.           ,Positive,1/31/2023 19:00,Instagram,cooking,20,40, USA       ,2023,1,31,19,0.5285714285714286,0.6857142857142857,Positive
 Cooking a special dinner for loved ones.           ,Positive,1/31/2023 19:00,Instagram,specialdinner,20,40, USA       ,2023,1,31,19,0.5285714285714286,0.6857142857142857,Positive
 Feeling optimistic about the week ahead.           ,Positive,1/31/2023 16:20,Twitter,optimism,15,30, Canada   ,2023,1,31,16,0.0,0.0,Neutral
 Feeling optimistic about the week ahead.           ,Positive,1/31/2023 16:20,Twitter,newweek,15,30, Canada   ,2023,1,31,16,0.0,0.0,Neutral
 Starting a new fitness challenge tomorrow! 💪     ,Positive,2/1/2023 8:00,Facebook,fitnesschallenge,22,45, UK         ,2023,2,1,8,0.0852272727272727,0.2772727272727273,Neutral
 Starting a new fitness challenge tomorrow! 💪     ,Positive,2/1/2023 8:00,Facebook,newbeginnings,22,45, UK         ,2023,2,1,8,0.0852272727272727,0.2772727272727273,Neutral
 Sunday bike ride through scenic trails.           ,Positive,2/1/2023 13:30,Instagram,bikeride,18,35, USA     ,2023,2,1,13,0.0,0.0,Neutral
 Sunday bike ride through scenic trails.           ,Positive,2/1/2023 13:30,Instagram,scenictrails,18,35, USA     ,2023,2,1,13,0.0,0.0,Neutral
 Can't believe the injustice happening in our society.,Anger,2/11/2023 9:30,Twitter,injustice,20,40, Canada     ,2023,2,11,9,0.0,0.0,Neutral
 Can't believe the injustice happening in our society.,Anger,2/11/2023 9:30,Twitter,angry,20,40, Canada     ,2023,2,11,9,0.0,0.0,Neutral
 Feeling a sense of fear after watching a thriller movie. ,Fear,2/11/2023 21:15,Instagram,fear,15,30, USA          ,2023,2,11,21,0.0,0.0,Neutral
 Feeling a sense of fear after watching a thriller movie. ,Fear,2/11/2023 21:15,Instagram,thrillermovie,15,30, USA          ,2023,2,11,21,0.0,0.0,Neutral
 Heartbroken after hearing the news about a natural disaster. ,Sadness,2/12/2023 14:45,Facebook,sadness,25,50, India      ,2023,2,12,14,0.1,0.4,Neutral
 Heartbroken after hearing the news about a natural disaster. ,Sadness,2/12/2023 14:45,Facebook,naturaldisaster,25,50, India      ,2023,2,12,14,0.1,0.4,Neutral
 The state of the world's environment is just disgusting. ,Disgust,2/12/2023 18:20,Twitter,disgust,18,35, UK         ,2023,2,12,18,-1.0,1.0,Negative
 The state of the world's environment is just disgusting. ,Disgust,2/12/2023 18:20,Twitter,environment,18,35, UK         ,2023,2,12,18,-1.0,1.0,Negative
 Pure happiness: celebrating a loved one's achievement! ,Happiness,2/13/2023 10:00,Instagram,happiness,30,60, USA ,2023,2,13,10,0.5964285714285714,0.5,Positive
 Pure happiness: celebrating a loved one's achievement! ,Happiness,2/13/2023 10:00,Instagram,celebration,30,60, USA ,2023,2,13,10,0.5964285714285714,0.5,Positive
 Laughter is the best medicine—enjoying a comedy show. ,Joy,2/13/2023 19:30,Facebook,joy,22,45, Canada    ,2023,2,13,19,1.0,0.3,Positive
 Laughter is the best medicine—enjoying a comedy show. ,Joy,2/13/2023 19:30,Facebook,comedyshow,22,45, Canada    ,2023,2,13,19,1.0,0.3,Positive
 Sharing love and positive vibes with everyone! ❤️      ,Love,2/14/2023 8:30,Twitter,love,15,30, Australia  ,2023,2,14,8,0.3920454545454545,0.5727272727272728,Positive
 Sharing love and positive vibes with everyone! ❤️      ,Love,2/14/2023 8:30,Twitter,spreadlove,15,30, Australia  ,2023,2,14,8,0.3920454545454545,0.5727272727272728,Positive
 An amusing incident brightened up my day!               ,Amusement,2/14/2023 14:20,Instagram,amusement,18,35, UK           ,2023,2,14,14,0.75,1.0,Positive
 An amusing incident brightened up my day!               ,Amusement,2/14/2023 14:20,Instagram,funtimes,18,35, UK           ,2023,2,14,14,0.75,1.0,Positive
 Enjoying a quiet evening with a book and some tea.      ,Enjoyment,2/14/2023 19:45,Facebook,enjoyment,25,50, Canada       ,2023,2,14,19,0.25,0.4666666666666667,Positive
 Enjoying a quiet evening with a book and some tea.      ,Enjoyment,2/14/2023 19:45,Facebook,booktime,25,50, Canada       ,2023,2,14,19,0.25,0.4666666666666667,Positive
 Admiring the beauty of nature during a peaceful hike.   ,Admiration,2/15/2023 11:30,Twitter,admiration,20,40, USA       ,2023,2,15,11,0.25,0.5,Positive
 Admiring the beauty of nature during a peaceful hike.   ,Admiration,2/15/2023 11:30,Twitter,nature,20,40, USA       ,2023,2,15,11,0.25,0.5,Positive
 Sending affectionate vibes to all my followers!          ,Affection,2/15/2023 16:00,Instagram,affection,15,30,USA,2023,2,15,16,0.0,0.0,Neutral
 Sending affectionate vibes to all my followers!          ,Affection,2/15/2023 16:00,Instagram,positivevibes,15,30,USA,2023,2,15,16,0.0,0.0,Neutral
 Experiencing awe at the breathtaking sunset.            ,Awe,2/15/2023 20:30,Facebook,awe,22,45, Australia   ,2023,2,15,20,1.0,1.0,Positive
 Experiencing awe at the breathtaking sunset.            ,Awe,2/15/2023 20:30,Facebook,breathtaking,22,45, Australia   ,2023,2,15,20,1.0,1.0,Positive
 Disappointed with the service at a local restaurant.    ,Disappointed,2/16/2023 9:00,Twitter,disappointed,18,35, India      ,2023,2,16,9,-0.375,0.375,Negative
 Disappointed with the service at a local restaurant.    ,Disappointed,2/16/2023 9:00,Twitter,badservice,18,35, India      ,2023,2,16,9,-0.375,0.375,Negative
 A surprise gift from a friend made my day!              ,Surprise,2/16/2023 14:45,Instagram,surprise,25,50, USA          ,2023,2,16,14,0.0,0.0,Neutral
 A surprise gift from a friend made my day!              ,Surprise,2/16/2023 14:45,Instagram,gift,25,50, USA          ,2023,2,16,14,0.0,0.0,Neutral
 Finding acceptance in the midst of life's challenges.   ,Acceptance,2/16/2023 18:20,Facebook,acceptance,15,30, Canada     ,2023,2,16,18,0.0,0.0,Neutral
 Finding acceptance in the midst of life's challenges.   ,Acceptance,2/16/2023 18:20,Facebook,challenges,15,30, Canada     ,2023,2,16,18,0.0,0.0,Neutral
 Overflowing with adoration for my adorable pet! 🐾      ,Adoration,2/17/2023 10:45,Twitter,adoration,22,45, UK        ,2023,2,17,10,0.625,1.0,Positive
 Overflowing with adoration for my adorable pet! 🐾      ,Adoration,2/17/2023 10:45,Twitter,petlove,22,45, UK        ,2023,2,17,10,0.625,1.0,Positive
 Anticipating a thrilling adventure in the coming weeks. ,Anticipation,2/17/2023 7:30,Instagram,anticipation,20,40,USA,2023,2,17,7,0.25,1.0,Positive
 Anticipating a thrilling adventure in the coming weeks. ,Anticipation,2/17/2023 7:30,Instagram,adventure,20,40,USA,2023,2,17,7,0.25,1.0,Positive
 A bitter experience turned into a valuable lesson.      ,Bitter,2/17/2023 15:00,Facebook,bitterlesson,18,35, USA       ,2023,2,17,15,-0.1,0.5,Neutral
 A bitter experience turned into a valuable lesson.      ,Bitter,2/17/2023 15:00,Facebook,growth,18,35, USA       ,2023,2,17,15,-0.1,0.5,Neutral
 Finding calmness in the midst of a busy day.            ,Calmness,2/18/2023 9:30,Twitter,calmness,15,30, India     ,2023,2,18,9,0.1,0.3,Neutral
 Finding calmness in the midst of a busy day.            ,Calmness,2/18/2023 9:30,Twitter,peacefulmind,15,30, India     ,2023,2,18,9,0.1,0.3,Neutral
 Confusion clouds my mind as I navigate through decisions.,Confusion,2/18/2023 14:20,Instagram,confusion,25,50, UK   ,2023,2,18,14,0.0,0.0,Neutral
 Confusion clouds my mind as I navigate through decisions.,Confusion,2/18/2023 14:20,Instagram,decisionmaking,25,50, UK   ,2023,2,18,14,0.0,0.0,Neutral
 Excitement building up for the upcoming vacation!       ,Excitement,2/18/2023 18:45,Facebook,excitement,22,45, Canada    ,2023,2,18,18,0.0,0.0,Neutral
 Excitement building up for the upcoming vacation!       ,Excitement,2/18/2023 18:45,Facebook,travelplans,22,45, Canada    ,2023,2,18,18,0.0,0.0,Neutral
 Kindness witnessed today restored my faith in humanity. ,Kind,2/19/2023 11:30,Twitter,kindness,20,40, USA       ,2023,2,19,11,0.0,0.0,Neutral
 Kindness witnessed today restored my faith in humanity. ,Kind,2/19/2023 11:30,Twitter,humanity,20,40, USA       ,2023,2,19,11,0.0,0.0,Neutral
 Pride in achieving a personal milestone.               ,Pride,2/19/2023 16:00,Instagram,pride,30,60, Australia    ,2023,2,19,16,0.0,0.3,Neutral
 Pride in achieving a personal milestone.               ,Pride,2/19/2023 16:00,Instagram,milestone,30,60, Australia    ,2023,2,19,16,0.0,0.3,Neutral
 A moment of shame for not standing up against injustice. ,Shame,2/19/2023 19:45,Facebook,shame,15,30, India      ,2023,2,19,19,0.0,0.0,Neutral
 A moment of shame for not standing up against injustice. ,Shame,2/19/2023 19:45,Facebook,injustice,15,30, India      ,2023,2,19,19,0.0,0.0,Neutral
 Fuming with anger after a heated argument.            ,Anger,2/20/2023 9:30,Twitter,anger,20,40, Canada     ,2023,2,20,9,-0.7,0.2,Negative
 Fuming with anger after a heated argument.            ,Anger,2/20/2023 9:30,Twitter,argument,20,40, Canada     ,2023,2,20,9,-0.7,0.2,Negative
 The fear of the unknown is keeping me up at night.    ,Fear,2/20/2023 21:15,Instagram,fear,15,30, USA          ,2023,2,20,21,-0.1,0.6,Neutral
 The fear of the unknown is keeping me up at night.    ,Fear,2/20/2023 21:15,Instagram,unknown,15,30, USA          ,2023,2,20,21,-0.1,0.6,Neutral
 Heartfelt sadness after bidding farewell to a dear friend. ,Sadness,2/21/2023 14:45,Facebook,sadness,25,50, India      ,2023,2,21,14,0.0,1.0,Neutral
 Heartfelt sadness after bidding farewell to a dear friend. ,Sadness,2/21/2023 14:45,Facebook,farewell,25,50, India      ,2023,2,21,14,0.0,1.0,Neutral
 The state of corruption in our society is utterly disgusting. ,Disgust,2/21/2023 18:20,Twitter,disgust,18,35, UK         ,2023,2,21,18,-1.0,1.0,Negative
 The state of corruption in our society is utterly disgusting. ,Disgust,2/21/2023 18:20,Twitter,corruption,18,35, UK         ,2023,2,21,18,-1.0,1.0,Negative
 Overflowing happiness: welcoming a new family member!  ,Happiness,2/22/2023 10:00,Instagram,happiness,30,60, UK           ,2023,2,22,10,0.4352272727272727,0.3272727272727272,Positive
 Overflowing happiness: welcoming a new family member!  ,Happiness,2/22/2023 10:00,Instagram,newfamilymember,30,60, UK           ,2023,2,22,10,0.4352272727272727,0.3272727272727272,Positive
 Laughter is the key to joy—attending a stand-up comedy show. ,Joy,2/22/2023 19:30,Facebook,joy,22,45, Canada    ,2023,2,22,19,0.0,1.0,Neutral
 Laughter is the key to joy—attending a stand-up comedy show. ,Joy,2/22/2023 19:30,Facebook,standupcomedy,22,45, Canada    ,2023,2,22,19,0.0,1.0,Neutral
 Sending love to all my followers on this beautiful day! ❤️ ,Love,2/23/2023 8:30,Twitter,love,15,30, Australia  ,2023,2,23,8,0.75,0.8,Positive
 Sending love to all my followers on this beautiful day! ❤️ ,Love,2/23/2023 8:30,Twitter,spreadlove,15,30, Australia  ,2023,2,23,8,0.75,0.8,Positive
 Amused by the antics of my pet—it's pure amusement!      ,Amusement,2/23/2023 14:20,Instagram,amusement,18,35, UK           ,2023,2,23,14,0.2678571428571428,0.5,Positive
 Amused by the antics of my pet—it's pure amusement!      ,Amusement,2/23/2023 14:20,Instagram,petantics,18,35, UK           ,2023,2,23,14,0.2678571428571428,0.5,Positive
 Enjoying every moment of this trip—pure enjoyment!      ,Enjoyment,2/23/2023 19:45,Facebook,enjoyment,25,50, USA ,2023,2,23,19,0.625,0.6,Positive
 Enjoying every moment of this trip—pure enjoyment!      ,Enjoyment,2/23/2023 19:45,Facebook,travel,25,50, USA ,2023,2,23,19,0.625,0.6,Positive
 Admiring the dedication of volunteers at a local charity. ,Admiration,2/24/2023 11:30,Twitter,admiration,20,40, USA        ,2023,2,24,11,0.0,0.0,Neutral
 Admiring the dedication of volunteers at a local charity. ,Admiration,2/24/2023 11:30,Twitter,volunteers,20,40, USA        ,2023,2,24,11,0.0,0.0,Neutral
 Sending affectionate vibes to friends and family.        ,Affection,2/24/2023 16:00,Instagram,affection,15,30,USA,2023,2,24,16,0.0,0.0,Neutral
 Sending affectionate vibes to friends and family.        ,Affection,2/24/2023 16:00,Instagram,familylove,15,30,USA,2023,2,24,16,0.0,0.0,Neutral
 Awe-struck by the beauty of the night sky.               ,Awe,2/24/2023 20:30,Facebook,awe,22,45, Australia ,2023,2,24,20,0.0,0.0,Neutral
 Awe-struck by the beauty of the night sky.               ,Awe,2/24/2023 20:30,Facebook,starrynight,22,45, Australia ,2023,2,24,20,0.0,0.0,Neutral
 Disappointed with the lack of progress in a personal project. ,Disappointed,2/25/2023 9:00,Twitter,disappointed,18,35, India      ,2023,2,25,9,-0.375,0.525,Negative
 Disappointed with the lack of progress in a personal project. ,Disappointed,2/25/2023 9:00,Twitter,project,18,35, India      ,2023,2,25,9,-0.375,0.525,Negative
 A surprise visit from an old friend brought tears of joy. ,Surprise,2/25/2023 14:45,Instagram,surprise,25,50, USA          ,2023,2,25,14,0.45,0.2,Positive
 A surprise visit from an old friend brought tears of joy. ,Surprise,2/25/2023 14:45,Instagram,oldfriends,25,50, USA          ,2023,2,25,14,0.45,0.2,Positive
