Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,TextBlob_Polarity,TextBlob_Subjectivity,TextBlob_Sentiment
 Reflecting on the past and looking ahead.          ,Positive,1/19/2023 13:20, Reflections  ,Facebook,"['reflection', 'future']",20,40, USA      ,2023,1,19,13,-0.25,0.25,Negative
 Just adopted a cute furry friend! 🐾              ,Positive,1/19/2023 17:10, PetAdopter   ,Instagram,"['petadoption', 'furryfriend']",15,30, Canada    ,2023,1,19,17,0.625,1.0,Positive
 Late-night gaming session with friends.            ,Positive,1/20/2023 0:05, GamerX       ,Twitter,"['gaming', 'latenight']",18,35, UK       ,2023,1,20,0,0.0,0.0,Neutral
 Attending a virtual conference on AI.              ,Neutral,1/20/2023 11:30, TechConference,Facebook,"['ai', 'techconference']",25,50,USA,2023,1,20,11,0.0,0.0,Neutral
 Winter blues got me feeling low.                   ,Negative,1/20/2023 15:15, WinterBlues  ,Instagram,"['winterblues', 'mood']",8,15, USA       ,2023,1,20,15,0.0,0.3,Neutral
 Sipping coffee and enjoying a good book.           ,Positive,1/21/2023 8:40, Bookworm     ,Twitter,"['reading', 'coffeetime']",22,45, India    ,2023,1,21,8,0.6,0.6000000000000001,Positive
 Exploring the world of virtual reality.            ,Positive,1/21/2023 13:20, VRExplorer   ,Facebook,"['vr', 'virtualreality']",15,30,USA,2023,1,21,13,0.0,0.0,Neutral
 Productive day ticking off my to-do list.          ,Positive,1/21/2023 16:45, ProductivityPro,Instagram,"['productivity', 'workfromhome']",30,60, USA ,2023,1,21,16,0.0,0.0,Neutral
 Just finished a challenging workout routine.       ,Positive,1/22/2023 9:15, FitnessWarrior,Twitter,"['fitness', 'challengeaccepted']",20,40, UK       ,2023,1,22,9,0.5,1.0,Positive
 Celebrating a milestone at work! 🎉               ,Positive,1/22/2023 14:30, CareerMilestone,Facebook,"['career', 'milestone']",12,25, Canada  ,2023,1,22,14,0.0,0.0,Neutral
 Sunday brunch with friends.                        ,Positive,1/22/2023 12:00, BrunchBuddy  ,Instagram,"['brunch', 'friends']",15,30, UK ,2023,1,22,12,0.0,0.0,Neutral
 Learning a new language for personal growth.       ,Positive,1/23/2023 16:20, LanguageLearner,Facebook,"['languagelearning', 'personalgrowth']",25,50, India     ,2023,1,23,16,0.06818181818181818,0.37727272727272726,Neutral
 Quiet evening with a good book.                    ,Positive,1/23/2023 19:45, BookLover    ,Instagram,"['reading', 'quiettime']",15,30, Australia ,2023,1,23,19,0.35,0.4666666666666667,Positive
 Reflecting on the importance of mental health.     ,Positive,1/24/2023 11:30, MentalHealthMatters,Twitter,"['mentalhealth', 'selfcare']",22,45, USA      ,2023,1,24,11,-0.1,0.2,Neutral
 New painting in progress! 🎨                       ,Positive,1/24/2023 15:00, ArtistInAction,Facebook,"['art', 'paintinginprogress']",12,25, Canada ,2023,1,24,15,0.17045454545454544,0.45454545454545453,Positive
 Weekend road trip to explore scenic views.         ,Positive,1/24/2023 17:30, RoadTripper  ,Instagram,"['roadtrip', 'scenicviews']",18,35, UK        ,2023,1,24,17,0.0,0.0,Neutral
 Enjoying a cup of tea and watching the sunset.     ,Positive,1/25/2023 18:00, SunsetWatcher,Twitter,"['teatime', 'sunset']",15,30, India    ,2023,1,25,18,0.5,0.6,Positive
 Coding a new project with enthusiasm.              ,Positive,1/25/2023 13:15, CodeEnthusiast,Facebook,"['coding', 'enthusiasm']",30,60, USA ,2023,1,25,13,0.13636363636363635,0.45454545454545453,Positive
 Feeling inspired after attending a workshop.       ,Positive,1/26/2023 9:45, WorkshopAttendee,Instagram,"['inspiration', 'workshop']",25,50,USA,2023,1,26,9,0.0,0.0,Neutral
 Winter sports day at the local park.               ,Positive,1/26/2023 14:20, WinterSports  ,Twitter,"['wintersports', 'fun']",15,30, Canada   ,2023,1,26,14,0.0,0.0,Neutral
 Quality time with family this weekend.             ,Positive,1/26/2023 17:40, FamilyTime   ,Facebook,"['familytime', 'weekend']",22,45, UK        ,2023,1,26,17,0.0,0.0,Neutral
 Attending a live music concert tonight.            ,Positive,1/27/2023 20:00, MusicLover   ,Instagram,"['music', 'concertnight']",18,35, USA ,2023,1,27,20,0.13636363636363635,0.5,Positive
 Practicing mindfulness with meditation.            ,Positive,1/27/2023 12:30, MindfulMoments,Twitter,"['mindfulness', 'meditation']",15,30, India    ,2023,1,27,12,0.0,0.0,Neutral
 Trying out a new dessert recipe.                   ,Positive,1/27/2023 16:10, DessertExplorer,Facebook,"['dessert', 'cooking']",12,25, Canada ,2023,1,27,16,0.13636363636363635,0.45454545454545453,Positive
 Excited about the upcoming gaming tournament.      ,Positive,1/28/2023 9:00, GamingEnthusiast,Instagram,"['gaming', 'tournament']",30,60,USA,2023,1,28,9,0.375,0.75,Positive
 Planning a garden makeover for spring.             ,Positive,1/28/2023 14:45, GardenPlanner ,Twitter,"['gardening', 'spring']",25,50, USA      ,2023,1,28,14,0.0,0.0,Neutral
 Celebrating a friend's birthday tonight! 🎂       ,Positive,1/28/2023 19:30, BirthdayBash ,Facebook,"['birthday', 'celebration']",15,30, UK ,2023,1,28,19,0.0,0.0,Neutral
 Feeling accomplished after a productive day.       ,Positive,1/29/2023 17:00, ProductivityWin,Instagram,"['accomplished', 'success']",22,45, India ,2023,1,29,17,0.2,0.5,Positive
 A cozy evening with a good movie.                 ,Positive,1/29/2023 20:20, MovieNight   ,Twitter,"['cozynight', 'movietime']",18,35, Canada   ,2023,1,29,20,0.25,0.675,Positive
 Exploring local art galleries this weekend.        ,Positive,1/30/2023 11:30, ArtExplorer  ,Facebook,"['art', 'galleryexplore']",15,30, USA      ,2023,1,30,11,0.0,0.0,Neutral
 New book release from my favorite author!          ,Positive,1/30/2023 15:45, BookwormX    ,Instagram,"['bookrelease', 'favoriteauthor']",12,25, UK   ,2023,1,30,15,0.3806818181818182,0.7272727272727273,Positive
 Attending a virtual reality meetup.                ,Positive,1/30/2023 18:30, VRMeetup     ,Twitter,"['vrmeetup', 'virtualreality']",28,55, India    ,2023,1,30,18,0.0,0.0,Neutral
 Reflecting on the beauty of nature.                ,Positive,1/31/2023 10:45, NatureLover  ,Facebook,"['nature', 'reflection']",15,30, Australia ,2023,1,31,10,0.0,0.0,Neutral
 Cooking a special dinner for loved ones.           ,Positive,1/31/2023 19:00, ChefAtHome   ,Instagram,"['cooking', 'specialdinner']",20,40, USA       ,2023,1,31,19,0.5285714285714286,0.6857142857142857,Positive
 Feeling optimistic about the week ahead.           ,Positive,1/31/2023 16:20, OptimisticMindset,Twitter,"['optimism', 'newweek']",15,30, Canada   ,2023,1,31,16,0.0,0.0,Neutral
 Starting a new fitness challenge tomorrow! 💪     ,Positive,2/1/2023 8:00, FitnessChallenge,Facebook,"['fitnesschallenge', 'newbeginnings']",22,45, UK         ,2023,2,1,8,0.08522727272727272,0.2772727272727273,Neutral
 Sunday bike ride through scenic trails.           ,Positive,2/1/2023 13:30, BikeExplorer  ,Instagram,"['bikeride', 'scenictrails']",18,35, USA     ,2023,2,1,13,0.0,0.0,Neutral
 Can't believe the injustice happening in our society.,Anger,2/11/2023 9:30, SocialJustice   ,Twitter,"['injustice', 'angry']",20,40, Canada     ,2023,2,11,9,0.0,0.0,Neutral
 Feeling a sense of fear after watching a thriller movie. ,Fear,2/11/2023 21:15, ThrillerFan     ,Instagram,"['fear', 'thrillermovie']",15,30, USA          ,2023,2,11,21,0.0,0.0,Neutral
 Heartbroken after hearing the news about a natural disaster. ,Sadness,2/12/2023 14:45, EmpathyFirst    ,Facebook,"['sadness', 'naturaldisaster']",25,50, India      ,2023,2,12,14,0.1,0.4,Neutral
 The state of the world's environment is just disgusting. ,Disgust,2/12/2023 18:20, EcoAwareness    ,Twitter,"['disgust', 'environment']",18,35, UK         ,2023,2,12,18,-1.0,1.0,Negative
 Pure happiness: celebrating a loved one's achievement! ,Happiness,2/13/2023 10:00, ProudFriend     ,Instagram,"['happiness', 'celebration']",30,60, USA ,2023,2,13,10,0.5964285714285714,0.5,Positive
 Laughter is the best medicine—enjoying a comedy show. ,Joy,2/13/2023 19:30, ComedyFan       ,Facebook,"['joy', 'comedyshow']",22,45, Canada    ,2023,2,13,19,1.0,0.3,Positive
 Sharing love and positive vibes with everyone! ❤️      ,Love,2/14/2023 8:30, LoveSpreader    ,Twitter,"['love', 'spreadlove']",15,30, Australia  ,2023,2,14,8,0.39204545454545453,0.5727272727272728,Positive
 An amusing incident brightened up my day!               ,Amusement,2/14/2023 14:20, AmusedSoul      ,Instagram,"['amusement', 'funtimes']",18,35, UK           ,2023,2,14,14,0.75,1.0,Positive
 Enjoying a quiet evening with a book and some tea.      ,Enjoyment,2/14/2023 19:45, BookLoverAgain  ,Facebook,"['enjoyment', 'booktime']",25,50, Canada       ,2023,2,14,19,0.25,0.4666666666666667,Positive
 Admiring the beauty of nature during a peaceful hike.   ,Admiration,2/15/2023 11:30, NatureAdmirer   ,Twitter,"['admiration', 'nature']",20,40, USA       ,2023,2,15,11,0.25,0.5,Positive
 Sending affectionate vibes to all my followers!          ,Affection,2/15/2023 16:00, AffectionSender ,Instagram,"['affection', 'positivevibes']",15,30,USA,2023,2,15,16,0.0,0.0,Neutral
 Experiencing awe at the breathtaking sunset.            ,Awe,2/15/2023 20:30, AweStruck       ,Facebook,"['awe', 'breathtaking']",22,45, Australia   ,2023,2,15,20,1.0,1.0,Positive
 Disappointed with the service at a local restaurant.    ,Disappointed,2/16/2023 9:00, FoodieGoneWrong ,Twitter,"['disappointed', 'badservice']",18,35, India      ,2023,2,16,9,-0.375,0.375,Negative
 A surprise gift from a friend made my day!              ,Surprise,2/16/2023 14:45, HappySurprise   ,Instagram,"['surprise', 'gift']",25,50, USA          ,2023,2,16,14,0.0,0.0,Neutral
 Finding acceptance in the midst of life's challenges.   ,Acceptance,2/16/2023 18:20, AcceptanceSeeker,Facebook,"['acceptance', 'challenges']",15,30, Canada     ,2023,2,16,18,0.0,0.0,Neutral
 Overflowing with adoration for my adorable pet! 🐾      ,Adoration,2/17/2023 10:45, PetAdorer       ,Twitter,"['adoration', 'petlove']",22,45, UK        ,2023,2,17,10,0.625,1.0,Positive
 Anticipating a thrilling adventure in the coming weeks. ,Anticipation,2/17/2023 7:30, AdventureAwaits  ,Instagram,"['anticipation', 'adventure']",20,40,USA,2023,2,17,7,0.25,1.0,Positive
 A bitter experience turned into a valuable lesson.      ,Bitter,2/17/2023 15:00, LearnFromBitter ,Facebook,"['bitterlesson', 'growth']",18,35, USA       ,2023,2,17,15,-0.1,0.5,Neutral
 Finding calmness in the midst of a busy day.            ,Calmness,2/18/2023 9:30, ZenMaster       ,Twitter,"['calmness', 'peacefulmind']",15,30, India     ,2023,2,18,9,0.1,0.3,Neutral
 Confusion clouds my mind as I navigate through decisions.,Confusion,2/18/2023 14:20, ConfusedMind    ,Instagram,"['confusion', 'decisionmaking']",25,50, UK   ,2023,2,18,14,0.0,0.0,Neutral
 Excitement building up for the upcoming vacation!       ,Excitement,2/18/2023 18:45, VacationDreamer ,Facebook,"['excitement', 'travelplans']",22,45, Canada    ,2023,2,18,18,0.0,0.0,Neutral
 Kindness witnessed today restored my faith in humanity. ,Kind,2/19/2023 11:30, KindnessPrevails,Twitter,"['kindness', 'humanity']",20,40, USA       ,2023,2,19,11,0.0,0.0,Neutral
 Pride in achieving a personal milestone.               ,Pride,2/19/2023 16:00, PersonalAchiever,Instagram,"['pride', 'milestone']",30,60, Australia    ,2023,2,19,16,0.0,0.3,Neutral
 A moment of shame for not standing up against injustice. ,Shame,2/19/2023 19:45, ReflectiveSelf  ,Facebook,"['shame', 'injustice']",15,30, India      ,2023,2,19,19,0.0,0.0,Neutral
 Fuming with anger after a heated argument.            ,Anger,2/20/2023 9:30, AngryDebater    ,Twitter,"['anger', 'argument']",20,40, Canada     ,2023,2,20,9,-0.7,0.2,Negative
 The fear of the unknown is keeping me up at night.    ,Fear,2/20/2023 21:15, FearfulDreamer  ,Instagram,"['fear', 'unknown']",15,30, USA          ,2023,2,20,21,-0.1,0.6,Neutral
 Heartfelt sadness after bidding farewell to a dear friend. ,Sadness,2/21/2023 14:45, FarewellHeart   ,Facebook,"['sadness', 'farewell']",25,50, India      ,2023,2,21,14,0.0,1.0,Neutral
 The state of corruption in our society is utterly disgusting. ,Disgust,2/21/2023 18:20, AntiCorruption  ,Twitter,"['disgust', 'corruption']",18,35, UK         ,2023,2,21,18,-1.0,1.0,Negative
 Overflowing happiness: welcoming a new family member!  ,Happiness,2/22/2023 10:00, NewParentJoy    ,Instagram,"['happiness', 'newfamilymember']",30,60, UK           ,2023,2,22,10,0.4352272727272727,0.32727272727272727,Positive
 Laughter is the key to joy—attending a stand-up comedy show. ,Joy,2/22/2023 19:30, StandUpFan      ,Facebook,"['joy', 'standupcomedy']",22,45, Canada    ,2023,2,22,19,0.0,1.0,Neutral
 Sending love to all my followers on this beautiful day! ❤️ ,Love,2/23/2023 8:30, LoveSender      ,Twitter,"['love', 'spreadlove']",15,30, Australia  ,2023,2,23,8,0.75,0.8,Positive
 Amused by the antics of my pet—it's pure amusement!      ,Amusement,2/23/2023 14:20, PetAmuser       ,Instagram,"['amusement', 'petantics']",18,35, UK           ,2023,2,23,14,0.26785714285714285,0.5,Positive
 Enjoying every moment of this trip—pure enjoyment!      ,Enjoyment,2/23/2023 19:45, TravelExplorer  ,Facebook,"['enjoyment', 'travel']",25,50, USA ,2023,2,23,19,0.625,0.6,Positive
 Admiring the dedication of volunteers at a local charity. ,Admiration,2/24/2023 11:30, CharityAdmirer  ,Twitter,"['admiration', 'volunteers']",20,40, USA        ,2023,2,24,11,0.0,0.0,Neutral
 Sending affectionate vibes to friends and family.        ,Affection,2/24/2023 16:00, FamilyLover     ,Instagram,"['affection', 'familylove']",15,30,USA,2023,2,24,16,0.0,0.0,Neutral
 Awe-struck by the beauty of the night sky.               ,Awe,2/24/2023 20:30, Stargazer       ,Facebook,"['awe', 'starrynight']",22,45, Australia ,2023,2,24,20,0.0,0.0,Neutral
 Disappointed with the lack of progress in a personal project. ,Disappointed,2/25/2023 9:00, ProjectStruggle ,Twitter,"['disappointed', 'project']",18,35, India      ,2023,2,25,9,-0.375,0.525,Negative
 A surprise visit from an old friend brought tears of joy. ,Surprise,2/25/2023 14:45, JoyfulReunion   ,Instagram,"['surprise', 'oldfriends']",25,50, USA          ,2023,2,25,14,0.45,0.2,Positive
 Embracing acceptance of life's ups and downs.           ,Acceptance,2/25/2023 18:20, LifeAcceptance  ,Facebook,"['acceptance', 'lifejourney']",15,30, Canada     ,2023,2,25,18,0.0,0.0,Neutral
 Overflowing adoration for a cute rescue puppy! 🐶       ,Adoration,2/26/2023 10:45, PuppyAdmirer    ,Twitter,"['adoration', 'puppylove']",22,45, UK         ,2023,2,26,10,0.625,1.0,Positive
 Anticipating the release of a much-awaited movie.       ,Anticipation,2/26/2023 7:30, MovieBuff2      ,Instagram,"['anticipation', 'movierelease']",20,40, Australia    ,2023,2,26,7,0.0,0.0,Neutral
 Bitter experience at the customer service department.   ,Bitter,2/26/2023 15:00, CustomerWoes    ,Facebook,"['bitterexperience', 'customerservice']",18,35, USA       ,2023,2,26,15,-0.1,0.5,Neutral
 Finding calmness amidst the chaos of daily life.        ,Calmness,2/27/2023 9:30, CalmSoul        ,Twitter,"['calmness', 'innerpeace']",15,30, India     ,2023,2,27,9,0.0,0.0,Neutral
 Confusion reigns as I try to make sense of recent events.,Confusion,2/27/2023 14:20, ConfusedMind2   ,Instagram,"['confusion', 'makingsense']",25,50, UK   ,2023,2,27,14,0.0,0.25,Neutral
 Excitement building up for a surprise birthday party.   ,Excitement,2/27/2023 18:45, BirthdayExcite  ,Facebook,"['excitement', 'surpriseparty']",22,45, Canada ,2023,2,27,18,0.0,0.0,Neutral
 Witnessed an act of kindness that made my day.          ,Kind,2/28/2023 11:30, KindnessObserver,Twitter,"['kindness', 'actsofkindness']",20,40, USA       ,2023,2,28,11,0.0,0.0,Neutral
 Pride in completing a challenging fitness challenge.    ,Pride,2/28/2023 16:00, FitAchiever     ,Instagram,"['pride', 'fitnesschallengecompleted']",30,60, UK            ,2023,2,28,16,0.5,1.0,Positive
 A moment of shame for not speaking up against injustice.,Shame,2/28/2023 19:45, ReflectiveSelf2 ,Facebook,"['shame', 'injustice']",15,30, India     ,2023,2,28,19,0.0,0.0,Neutral
 Reflecting on the beauty of diversity in our world.     ,Acceptance,3/1/2023 10:45, DiversityLover  ,Twitter,"['acceptance', 'diversity']",22,45, Australia ,2023,3,1,10,0.0,0.0,Neutral
 Excitement for a quiet evening with a good book.        ,Excitement,3/1/2023 13:30, BookwormJoy     ,Instagram,"['excitement', 'booktime']",18,35, USA          ,2023,3,1,13,0.35,0.4666666666666667,Positive
 Feeling bitter about the unfairness in the workplace.   ,Bitter,3/1/2023 17:45, WorkplaceWoes   ,Twitter,"['bitter', 'unfairness']",15,30, Canada    ,2023,3,1,17,-0.1,0.5,Neutral
 Calmness prevails as I practice mindfulness.            ,Calmness,3/2/2023 18:00, MindfulMe       ,Facebook,"['calmness', 'mindfulness']",15,30, UK        ,2023,3,2,18,0.0,0.0,Neutral
 Confusion surrounds me as I navigate through life's choices. ,Confusion,3/2/2023 13:15, ConfusedMind3   ,Instagram,"['confusion', 'lifechoices']",30,60, USA   ,2023,3,2,13,0.0,0.0,Neutral
 Excitement for a weekend road trip to explore new places. ,Excitement,3/2/2023 16:45, RoadTripper2    ,Twitter,"['excitement', 'weekendadventure']",25,50, India     ,2023,3,2,16,0.13636363636363635,0.45454545454545453,Positive
 Kindness witnessed today restores my faith in humanity.  ,Kind,3/3/2023 11:30, KindnessPrevails2,Facebook,"['kindness', 'humanityrestored']",22,45, USA       ,2023,3,3,11,0.0,0.0,Neutral
 Pride in accomplishing personal and professional goals.  ,Pride,3/3/2023 14:30, GoalAchiever    ,Instagram,"['pride', 'accomplishments']",12,25, Canada ,2023,3,3,14,0.05,0.2,Neutral
 Shame for not being true to my values in a difficult situation.,Shame,3/3/2023 12:00, ReflectiveSelf3 ,Twitter,"['shame', 'integrity']",15,30, UK        ,2023,3,3,12,-0.07500000000000001,0.825,Neutral
" Revisiting old memories, feeling a sense of elation. ",Elation,5/15/2010 15:30, NostalgiaFan    ,Twitter,"['elation', 'memories']",20,40, Canada    ,2010,5,15,15,0.1,0.2,Neutral
 The victory of our team brought euphoria to the city. ,Euphoria,8/10/2021 21:15, SportsFanatic   ,Instagram,"['euphoria', 'victory']",15,30, USA      ,2021,8,10,21,0.0,0.0,Neutral
" Embracing the beauty of nature, a moment of contentment. ",Contentment,6/20/2011 14:45, NatureLover2    ,Facebook,"['contentment', 'nature']",25,50, India       ,2011,6,20,14,0.0,0.0,Neutral
" Meditating by the serene lake, finding inner peace.   ",Serenity,2/12/2022 18:20, ZenMaster2      ,Twitter,"['serenity', 'meditation']",18,35, UK          ,2022,2,12,18,0.0,0.16666666666666666,Neutral
 Overflowing with gratitude for life's blessings.      ,Gratitude,11/25/2012 10:00, ThankfulHeart   ,Instagram,"['gratitude', 'blessed']",30,60, Australia   ,2012,11,25,10,0.0,0.0,Neutral
" Hopeful for a brighter tomorrow, despite challenges.  ",Hope,4/5/2013 19:30, OptimisticSoul  ,Facebook,"['hope', 'optimism']",22,45, USA      ,2013,4,5,19,0.0,0.0,Neutral
 Empowered to make a difference in my community.        ,Empowerment,9/14/2014 8:30, CommunityLeader ,Twitter,"['empowerment', 'community']",15,30, UK       ,2014,9,14,8,0.0,0.0,Neutral
 Compassion in action: supporting a local charity event. ,Compassion,7/18/2015 14:20, CharitySupporter,Instagram,"['compassion', 'charityevent']",18,35, Canada ,2015,7,18,14,0.11666666666666665,0.11666666666666665,Positive
" A moment of tenderness, connecting with loved ones.    ",Tenderness,2/23/2016 19:45, LovingHeart     ,Facebook,"['tenderness', 'familytime']",25,50, UK          ,2016,2,23,19,0.7,0.8,Positive
 Arousal of excitement as I await a special announcement.,Arousal,10/30/2017 11:30, ExcitementFan   ,Twitter,"['arousal', 'excitement']",20,40, Australia ,2017,10,30,11,0.35714285714285715,0.5714285714285714,Positive
 Enthusiastically diving into a new project.            ,Enthusiasm,6/15/2018 16:00, ProjectEnthusiast,Instagram,"['enthusiasm', 'newproject']",15,30, USA  ,2018,6,15,16,0.13636363636363635,0.45454545454545453,Positive
 Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,3/28/2019 18:20, MilestoneAchiever,Facebook,"['fulfillment', 'milestone']",22,45, India     ,2019,3,28,18,0.0,0.0,Neutral
 Reverence for the beauty of a historic landmark.       ,Reverence,11/11/2019 15:00, HistoryLover    ,Twitter,"['reverence', 'history']",18,35, UK      ,2019,11,11,15,0.0,0.0,Neutral
 Elation after a surprise reunion with old friends.    ,Elation,4/2/2020 9:30, JoyfulReunion2  ,Instagram,"['elation', 'oldfriends']",25,50, Canada      ,2020,4,2,9,0.1,0.2,Neutral
 The euphoria of a live music concert under the stars.  ,Euphoria,6/19/2021 14:45, MusicEnthusiast ,Facebook,"['euphoria', 'livemusic']",15,30, USA ,2021,6,19,14,0.13636363636363635,0.5,Positive
 Contentment in the simplicity of a quiet Sunday.       ,Contentment,8/15/2010 10:00, SimpleJoys      ,Twitter,"['contentment', 'sundaymood']",30,60, Australia ,2010,8,15,10,0.0,0.3333333333333333,Neutral
 Serenity found in the pages of a favorite book.        ,Serenity,9/22/2011 19:30, BookLover3      ,Instagram,"['serenity', 'booktime']",22,45, UK          ,2011,9,22,19,0.5,1.0,Positive
 Gratitude for the support received during tough times. ,Gratitude,3/10/2012 8:30, SupportiveFriend,Facebook,"['gratitude', 'supportive']",15,30, India     ,2012,3,10,8,-0.3888888888888889,0.8333333333333334,Negative
 Hopeful about the possibilities of a new journey.      ,Hope,12/5/2013 16:00, JourneyOptimist ,Twitter,"['hope', 'newbeginnings']",18,35, Canada    ,2013,12,5,16,0.13636363636363635,0.45454545454545453,Positive
 Empowerment through learning and personal growth.      ,Empowerment,7/20/2014 11:30, GrowthSeeker    ,Instagram,"['empowerment', 'personalgrowth']",25,50,USA,2014,7,20,11,0.0,0.3,Neutral
 Compassion towards those in need during the holidays.  ,Compassion,12/22/2015 14:20, HolidayHelper   ,Facebook,"['compassion', 'holidaysupport']",18,35, USA      ,2015,12,22,14,0.0,0.0,Neutral
 Tenderness in the warmth of a cozy winter evening.     ,Tenderness,2/10/2016 19:45, WinterWarmth    ,Twitter,"['tenderness', 'cozyevening']",25,50, UK       ,2016,2,10,19,-0.19999999999999998,0.75,Negative
 Arousal of excitement for an upcoming adventure.       ,Arousal,4/30/2017 11:30, AdventureAwaits ,Instagram,"['arousal', 'adventuretime']",20,40, Australia ,2017,4,30,11,0.0,0.0,Neutral
 Enthusiasm for a creative project in the making.       ,Enthusiasm,9/15/2018 16:00, CreativeSpirit  ,Facebook,"['enthusiasm', 'creativity']",15,30, Canada    ,2018,9,15,16,0.5,1.0,Positive
 Fulfillment in completing a challenging workout routine.,Fulfillment,6/28/2019 18:20, FitnessAchiever ,Twitter,"['fulfillment', 'fitnessgoals']",22,45, India     ,2019,6,28,18,0.5,1.0,Positive
 Reverence for the artistry displayed in a museum.      ,Reverence,11/11/2020 15:00, ArtAppreciator  ,Instagram,"['reverence', 'artappreciation']",18,35, UK        ,2020,11,11,15,0.0,0.0,Neutral
 Elation after achieving a personal goal.               ,Elation,3/2/2021 9:30, GoalAchiever2   ,Facebook,"['elation', 'personalachievement']",25,50, USA      ,2021,3,2,9,0.0,0.3,Neutral
 Elation over discovering a hidden gem in the city.   ,Elation,2/18/2012 14:30, UrbanExplorer2  ,Twitter,"['elation', 'hiddengem']",20,40, USA      ,2012,2,18,14,-0.16666666666666666,0.3333333333333333,Negative
 The euphoria of a surprise birthday celebration.     ,Euphoria,11/5/2018 21:45, BirthdayJoy     ,Instagram,"['euphoria', 'birthdaysurprise']",15,30, UK   ,2018,11,5,21,0.0,0.0,Neutral
 Contentment in the simplicity of a home-cooked meal. ,Contentment,9/12/2015 13:20, HomeChef        ,Facebook,"['contentment', 'homecooking']",25,50, India    ,2015,9,12,13,0.0,0.0,Neutral
 Serenity found in the melody of a peaceful piano.    ,Serenity,7/30/2016 18:10, MusicLover4     ,Twitter,"['serenity', 'peacefulmelody']",18,35, Canada      ,2016,7,30,18,0.25,0.5,Positive
 Gratitude for the supportive community around me.    ,Gratitude,4/20/2013 10:30, CommunityLove   ,Instagram,"['gratitude', 'communitysupport']",30,60, USA ,2013,4,20,10,0.5,1.0,Positive
 Hopeful about the prospects of a new business venture.,Hope,12/8/2017 19:15, EntrepreneurHope,Facebook,"['hope', 'businessventure']",22,45, Canada    ,2017,12,8,19,0.13636363636363635,0.45454545454545453,Positive
